id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51397856,Great 1-bed room in shared flat with friendly chap,147960157,Gary,,Central,51.44882,-2.58727,Private room,43,3,9,2022-12-13,0.53,3,344,7,
51401563,"Centrally located, tidy flat  with king-sized bed",147960157,Gary,,Central,51.44738,-2.58559,Entire home/apt,100,3,4,2021-11-28,0.28,3,27,0,
51429468,Contemporary En-suite Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46559,-2.58717,Private room,63,1,81,2022-11-18,4.92,6,361,62,
51429568,Boho-chic En-suite Bedroom Near City Centre,415275955,Sandy,,Ashley,51.46577,-2.58888,Private room,66,2,57,2022-12-10,3.37,6,365,33,
51463968,BEAUTIFUL 3 bedroom house in the centre of Bristol,4436057,Eve,,Southville,51.44355,-2.60237,Entire home/apt,372,2,13,2022-09-05,0.80,1,270,6,
51495055,Cozy Hideaway in the Heart of Bristol,23684142,Ben,,Cotham,51.46404,-2.59171,Entire home/apt,75,1,112,2022-12-08,6.84,1,169,84,
51507278,"Quiet 2-bed apartment in Southville, Bristol",55458740,Joe,,Southville,51.44627,-2.6119,Entire home/apt,65,4,3,2022-10-31,0.21,1,64,2,
51512969,Cosy and Colourful self contained flat in Bristol,28228189,Sarah,,Bishopston & Ashley Down,51.48475,-2.58073,Entire home/apt,76,2,20,2022-12-10,1.60,1,150,19,
51518322,A 2 bedroom semi detached home close to the city,245983479,Mathew,,Brislington West,51.43932,-2.55362,Entire home/apt,156,7,0,,,1,100,0,
51519463,Nice place 10 minutes from Bristol city center,159859931,Francesco,,Ashley,51.4636,-2.58888,Private room,32,1,42,2022-04-24,2.50,1,0,27,
51522202,Private room in Clifton,156512013,Stefania,,Clifton,51.45604,-2.6214,Private room,93,1,43,2022-11-27,2.72,1,12,28,
51529027,Cosy private room in eco-friendly house,9675210,Ella,,St George Central,51.46179,-2.53569,Private room,35,2,13,2022-04-16,0.80,1,0,2,
51535462,5 bedroom house with off street parking sleeping up to 12 guests in Bristol,17145557,Pillow,,Lockleaze,51.48029,-2.57607,Entire home/apt,413,2,16,2022-08-21,1.08,2,68,13,
51588449,Lovely 1 bed annexe with parking,30156797,Sarah,,Westbury-on-Trym & Henleaze,51.49156,-2.60412,Entire home/apt,78,4,9,2022-11-14,0.54,1,109,5,
51598574,Modern private room with balcony,193245330,Rhodri,,Horfield,51.49233,-2.58608,Private room,55,2,4,2021-11-22,0.25,2,238,0,
51599103,New apartment in the heart of central Bristol,123853583,Kieran,,Ashley,51.46021,-2.58915,Entire home/apt,84,2,40,2022-12-02,2.45,1,243,27,
51609743,Boutique Harbour Apart - Football Table & Balcony,310835509,TravelNest,,Clifton,51.45033,-2.61213,Entire home/apt,236,1,0,,,2,364,0,
51609810,Unique Converted Church in Bristol,310835509,TravelNest,,Southville,51.44094,-2.60081,Entire home/apt,126,1,2,2021-09-18,0.13,2,62,0,
51639296,Urban Apartment in Central Bristol With Balcony,90896847,Matthew,,Lawrence Hill,51.4571,-2.57703,Entire home/apt,149,2,4,2022-12-19,3.75,1,29,4,
51659317,Fabulous views from double room bed and breakfast just off Gloucester Rd,18847816,Alison,,Bishopston & Ashley Down,51.48634,-2.58976,Private room,56,2,19,2022-11-22,1.22,3,168,14,
51678453,Cozy bedroom w/ en-suite in Casa Kalamar,27880162,Nunzia,,Clifton Down,51.46685,-2.61272,Private room,70,2,4,2022-12-27,1.04,1,87,4,
51681177,1 bed flat with private garden and parking,64322608,Callum,,Bishopsworth,51.42594,-2.61201,Entire home/apt,42,1,0,,,1,41,0,
51684221,Architectural 3 Bedroom Eco Townhouse + Parking,10813835,Oli,,Windmill Hill,51.4412,-2.5742,Entire home/apt,125,2,2,2021-11-28,0.15,1,0,0,
51726297,St Paul’s Suites - Apartment 1,236481623,Mairead,,Ashley,51.46548,-2.57841,Entire home/apt,94,2,63,2022-10-20,4.26,34,265,48,
51729652,Large house for large groups,101267565,Aneta,,Lawrence Hill,51.458889,-2.569135,Entire home/apt,493,1,12,2022-11-27,0.77,22,311,8,
51738797,Private self contained self catering flat,78153606,Andre,,St George Troopers Hill,51.4518,-2.52282,Entire home/apt,67,2,70,2022-12-04,4.37,1,82,49,
51778333,Bristol townhouse with harbour views. Sleeps 7,419452734,Liz,,Clifton,51.45102,-2.61137,Entire home/apt,296,2,76,2022-12-09,4.89,1,342,60,
51802257,Harbourside Modern Georgian 2 Bed House + Parking,8956745,Paul,,Central,51.44822,-2.59108,Entire home/apt,152,2,71,2022-12-24,4.55,1,159,63,
51831173,Bright One Bedroom Apartment In St George,65192629,Hopewell,,Easton,51.45915,-2.55558,Entire home/apt,107,2,16,2022-09-25,1.03,141,0,13,
51835696,Lovely cottage in the heart of Westbury on Trym,45747127,Jonny,,Westbury-on-Trym & Henleaze,51.48964,-2.62416,Entire home/apt,120,120,3,2022-02-05,0.21,1,90,1,
51837504,"The Hay Barn, Montpelier. W/ Parking",33410520,William,,Ashley,51.46554,-2.5886,Entire home/apt,120,2,40,2022-07-18,2.54,1,176,25,
